PRE2,21,B05,Compact,Or,ELEC.
PRE2,22,B06,Spanish,Gt,A.GTR
PRE2,23,B07,Nylon+Harm,Gt,A.GTR
PRE2,24,B08,SimplSteel,Gt,A.GTR
PRE2,25,B09,SteelCmprs,Gt,A.GTR
PRE2,26,B10,Mute&Slide,Gt,A.GTR
PRE2,27,B11,Ac&Harmnic,Gt,A.GTR
PRE2,28,B12,SteelSwtch,Gt,A.GTR
PRE2,29,B13,Mega Steel,Gt,A.GTR
PRE2,30,B14,2StlStrngs,Gt,A.GTR
PRE2,31,B15,12Strings,Gt,A.GTR
PRE2,32,B16,12Str Mono,Gt,A.GTR
PRE2,33,C01,Mega 12str,Gt,A.GTR
PRE2,34,C02,El 12Strng,Gt,E.GTR
PRE2,35,C03,Strange 12,Gt,E.GTR
PRE2,36,C04,CleanEl&Ac,Gt,A.GTR
PRE2,37,C05,Jazzy Pick,Gt,E.GTR
PRE2,38,C06,JazzGtMelo,Gt,E.GTR
PRE2,39,C07,Velo Jazz,Gt,E.GTR
PRE2,40,C08,2CoilAmp1,Gt,E.GTR
PRE2,41,C09,2CoilAmp2,Gt,E.GTR
PRE2,42,C10,60sClean1,Gt,E.GTR
PRE2,43,C11,60sClean2,Gt,E.GTR
PRE2,44,C12,CleanSlap,Gt,E.GTR
PRE2,45,C13,Distant,Gt,E.GTR
PRE2,46,C14,SomeHair,Gt,E.GTR
PRE2,47,C15,MiddyTrem,Gt,E.GTR
PRE2,48,C16,CompDream,Gt,E.GTR
PRE2,49,D01,RotoGtr,Gt,E.GTR
PRE2,50,D02,Alt Rocker,Gt,E.GTR
PRE2,51,D03,Spanky,Gt,E.GTR
PRE2,52,D04,Vin Strum,Gt,E.GTR
PRE2,53,D05,1CoilChors,Gt,E.GTR
PRE2,54,D06,VinTremolo,Gt,E.GTR
PRE2,55,D07,HitItHard,Gt,E.GTR
PRE2,56,D08,PaddyClean,Gt,E.GTR
PRE2,57,D09,Policia,Gt,E.GTR
PRE2,58,D10,Rockabilly,Gt,E.GTR
PRE2,59,D11,Rotator,Gt,E.GTR
